title,result
在文档中单击构件基块库中已有的文档部件，会出现构建基块框架。,1
"文档的任何位置都可以通过运用TC域标
记为目录项后建立目录。",1
插入一个分栏符能够将页面分成两栏。,1
书签名必须以字母、数字或者汉字开头，不能有空格，可以有下划线字符来分隔文字。,0
样式的优先级可以在新建样式时自行设置。,0
如果文本从其他应用程序引入后，由于颜色对比的原因难以阅读，最好改变背景颜色。,0
在“根据格式设置创建新样式”对话框中可以新建表格样式，但表格样式在“样式”任务窗格中不显示。,1
图片被裁剪后，被裁剪的部分仍作为图片文件的一部分被保存在文档中。,1
如需对某个样式进行修改，可以单击插入选项卡中的“更改样式”按钮。,0
打印时，在word2010中插入的批注将与文档内容一起被打印出来，无法隐藏。,0
在审阅时，对于文档中的所有修订标记只能全部接受或全部拒绝。,0
文档有右侧的批注框只用于显示批注。,1
分页符、分节符等编辑标记只能在草稿视图中查看。,0
.Dotx格式为启用宏的模板格式，而dotm格式无法启用宏。,0
拒绝修订的功能等同于撤销操作。,0
Word2010的屏幕截图功能可以将以任何最小化后收藏到任务栏的程序屏幕视图等插入到文档。,0
通过打印设置中的“打印标记”选项，可以设置文档中的修订标记是否被打印。,0
在“根据格式设置创建新样式”对话框中可以新建表格样式，但表格样式在“样式”任务窗口中不显示。,1
如需使用导航窗格对文档进行标题导航，必须预先为标题文字设定大纲级别。,1
如果要在更新域时保留原格式，只要将域代码中“\*MERGEFORMAT”删除即可。,0
域就像一段程序代码，文档中显示的内容是域代码运行结果。,1
位于每节或者文档结尾，用于对文档某些特定字符、专有名词或术语进行注解的注释，就是脚注。,0
如果删除了某个分节符，其前面的`文字将合并到后面的节中，并且采用后者的格式设置。,1
中国的引文样式标准是ISO 69。,0
可以通过插入域代码的方法在文档中插入页码，具体方法是先输入花括号“{”、再输入“page”、最后再输入花括号“}”即可。选中域代码后按下“shift”+“F9”，即可显示为当前页的页码。 ,0
excel中提供了保护工作表、保护工作薄和保护特定工作区域的功能。,1
在excel中，符号“&”是文本运算符。,1
Excel的同一数组常量中不可以使用不同类型的值。,0
高级筛选不需要建立条件区，只需要指定数据区域就可以了。,0
